stop_id,stop_name,stop_lat,stop_lon,district_name,population,pop_density_sqkm,daily_trips_count,avg_headway_secs
doses.stammer.slicing,Abdo Basha,30.06539,31.27671,,,,270,5362.666666666667
happy.wizard.panicking,Abdo Basha,30.065369,31.276976,,,,315,5569.828571428571
airtime.liberty.durations,Abdullah Al Othaym - Nile Courniche,29.882502,31.289268,,,,81,7074.0
contain.permanent.youths,Abdullah Al Othaym - Nile Courniche,29.88251,31.289392,,,,36,5527.75
dodging.viewers.infringe,Abdullah El Refaey,30.160072,31.355534,,,,9,1252.0
multiply.dented.bookcases,Abdullah El Refaey,30.160095,31.355633,,,,9,334.0
scrum.overgrown.resist,Abo Senna Steps,30.155146,31.229029,,,,54,2668.1666666666665
storybook.blaring.buns,Abo Senna Steps,30.155176,31.229177,,,,63,2727.8571428571427
romance.putty.reset,Abo Sir Steps - Ring Road,30.164656,31.388388,,,,135,2820.866666666667
foiled.conqueror.passports,Abou Al Farag St- Rod Al Farag St,30.081596,31.236872,,,,36,5859.75
birthdays.paves.rocks,Abou Al Majd Center - Mostorod,30.126974,31.28783,,,,45,6428.0
continues.raves.rezoning,Abou Al Majd Center - Mostorod,30.12676,31.289162,,,,81,3094.6666666666665
influence.dumplings.vibe,Abou Al Majd Center - Mostorod,30.126623,31.289328,,,,72,2918.5
insulated.outline.ember,Abou Al Majd Center - Mostorod,30.126709,31.287874,,,,45,6649.6
sharpens.throwaway.texts,Abou Al Nomros Police Station,29.95806,31.212864,,,,18,827.0
agrees.query.submits,Abou Al Reesh,30.028622,31.234652,,,,9,201.0
emporium.palms.sends,Abou Al Reesh,30.029097,31.237198,,,,144,4968.3125
hurricane.deferring.ideas,Abou Al Reesh,30.028427,31.236984,,,,18,7365.0
redeemed.mingles.solves,Abou Al Reesh,30.028738,31.23476,,,,27,814.3333333333334
televise.optimally.outwards,Abou Al Reesh,30.028158,31.237354,,,,297,5228.636363636364
bordering.sprouting.videos,Abou Wafya Bridge,30.095621,31.26601,,,,99,3532.2727272727275
clockwork.nickname.solid,Abou Wafya Bus Station,30.09778,31.255991,,,,99,4692.727272727273
drivers.event.hexes,Abou Wafya Bus Station,30.097773,31.25611,,,,63,2849.285714285714
dweller.apparatus.tenses,Abou Wafya Bus Station,30.09737,31.255863,,,,9,7633.0
angers.kept.cadet,Abou Zaabal Bridge,30.197258,31.318819,,,,9,546.0
sideburns.guests.widely,Abou Zaabal Bus Station,30.24936,31.354742,,,,45,2848.8
directly.truckload.title,Abu Al Houl - Mansoureyya Rd,29.97892,31.144003,,,,45,1126.6
weep.science.throat,Abu Al Houl - Mansoureyya Rd,29.978842,31.143768,,,,45,1126.6
tent.cabs.goodness,Abu Al Houl Bus Station,29.977411,31.142803,,,,18,2026.0
budding.passions.inspected,Abu Bakr Al Sedeeq Mosque - Sheraton,30.100943,31.37464,,,,18,1262.0
trains.facelift.mixture,Abu Bakr Al Sediq St - Teraat Al Dakat St,30.10337,31.261,,,,27,1997.3333333333333
develop.duos.seasick,Abu El Numrus,29.95958,31.231003,,,,18,491.0
reheat.tabs.hitters,Abu Khater - Matareyya,30.126125,31.297962,,,,27,3493.3333333333335
unspoiled.layered.elder,Abu Khater - Matareyya,30.125807,31.298077,,,,99,4020.5454545454545
scale.delays.locker,Abu Makarem Mosque - Al Waili,30.05534,31.279602,,,,144,2992.3125
insurers.comments.pupils,Abu Rawwash Bus Station,30.045265,31.095053,,,,18,822.0
recliner.butternut.rents,Abu Rawwash Bus Station,30.045416,31.094893,,,,9,912.0
ruling.journey.hogs,Abu Rawwash Rd - Al Mansoureyya Rd,30.041054,31.096401,,,,18,822.0
throwaway.rehearsal.tins,Abu Rawwash Rd - Al Mansoureyya Rd,30.041172,31.096252,,,,18,822.0
driveways.outfit.scrambles,Adawy - Nile Courniche,29.896675,31.28756,,,,90,6887.7
exonerate.subject.lived,Adawy - Nile Courniche,29.89672,31.28768,,,,36,5527.75
cashiers.triangles.hesitate,Aden St - Sudan St,30.051468,31.191862,,,,99,2997.3636363636365
unhelpful.spinners.ballots,Aden St - Sudan St,30.051453,31.191767,,,,126,2969.5
automate.scarred.married,Adidas Steps - Ring Road,29.983963,31.321728,,,,9,5678.0
contoured.overdrive.drill,Adidas Steps - Ring Road,29.984358,31.321825,,,,81,4133.555555555556
drama.cocktail.funky,Administrative Control Authority - Nozha,30.07768,31.33983,,,,63,4449.857142857143
otherwise.circus.slider,Administrative Control Authority - Nozha,30.077723,31.339565,,,,45,4971.4
nags.putter.clocked,Adminstration Of Mobilization And Recruitment,30.106354,31.324015,,,,225,4811.88
weaved.fuel.wove,Adminstration Of Mobilization And Recruitment,30.106451,31.324131,,,,153,3594.764705882353
browsers.bulb.lifeguard,Afendina Dome - Manshiyat Nasser,30.043367,31.277294,,,,162,4356.944444444444
twins.comically.skater,Afendina Dome - Manshiyat Nasser,30.043438,31.277155,,,,198,4319.681818181818
damp.flats.decorated,Agouza Corniche,30.046488,31.218107,,,,99,3035.090909090909
sublime.coil.strides,Agouza Corniche,30.04654,31.218218,,,,81,3419.0
birdcage.assembles.forms,Agouza Police Hospital,30.052305,31.216717,,,,207,3776.0434782608695
furniture.cultivation.kidney,Agouza Police Hospital,30.052334,31.216871,,,,207,3891.9565217391305
strictest.walking.nicer,Agricultural Center - Badrasheen,29.851421,31.247364,,,,18,804.0
eminent.downs.judges,Agricultural Research Center - Cairo University,30.021055,31.211437,,,,414,5068.304347826087
prune.liver.decompose,Agricultural Research Center - Cairo University,30.021217,31.211544,,,,414,4883.95652173913
tells.motive.absent,Ahli Bank - Al Nadi Al Gedeed St,29.969296,31.271973,,,,45,4303.6
burden.pylon.ironclad,Ahli Kuwaiti Bank - Sudan St,30.048325,31.192566,,,,99,2997.3636363636365
digs.intersect.spoiled,Ahli Kuwaiti Bank - Sudan St,30.048128,31.192492,,,,126,2969.5
derailed.cobras.dash,Ahmed Al Sallab Mall,30.052265,31.324337,,,,153,5378.470588235294
soup.renovated.upholding,Ahmed Al Sallab Mall,30.052038,31.32441,,,,144,5195.8125
casino.composes.commutes,Ahmed Badawi Street,30.066303,31.245766,,,,450,5553.58
lifetimes.sinkhole.speaker,Ahmed Badawi Street,30.066317,31.245083,,,,369,5870.707317073171
doubt.joins.remodels,Ahmed Esmat St - Ain Shams St,30.12915,31.32153,,,,153,4118.764705882353
pepper.trinkets.fancied,Ahmed Esmat St - Ain Shams St,30.129154,31.321438,,,,135,4538.333333333333
admits.tentacles.sporting,Ahmed Fakhry - Autostrad,30.069698,31.348845,,,,9,2633.0
beard.helpless.presuming,Ahmed Fakhry - Autostrad,30.06982,31.348053,,,,135,4275.0
smuggled.spearhead.shovels,Ahmed Fakhry - Autostrad,30.070026,31.348366,,,,153,3589.235294117647
trucks.pigtails.booklet,Ahmed Galal Military Passage,30.141197,31.436735,,,,99,4196.818181818182
valley.inch.houseboat,Ahmed Galal Military Passage,30.141253,31.436924,,,,99,3449.7272727272725
dialects.takeover.custodial,Ahmed Helmy,30.064966,31.247765,,,,9,4010.0
duration.driveways.bristle,Ahmed Helmy,30.064444,31.245775,,,,18,6356.0
explain.massaged.rabble,Ahmed Helmy,30.065004,31.24655,,,,144,4664.4375
juicy.beaks.twins,Ahmed Helmy,30.064476,31.244982,,,,117,5866.384615384615
spent.crowns.objective,Ahmed Helmy,30.06495,31.244743,,,,423,5428.36170212766
washing.weekends.handlebar,Ahmed Helmy,30.06488,31.24488,,,,324,5549.166666666667
toast.nourished.slack,Ahmed Khalil St - Mogamaa Al Masanae St,30.10649,31.266975,,,,9,1626.0
abode.author.passively,Ahmed Maher Teaching Hospital,30.039745,31.250437,,,,594,5539.515151515152
march.secret.blissful,Ahmed Maher Teaching Hospital,30.039818,31.250237,,,,369,5187.731707317073
lengthen.scoping.lately,Ahmed Oraby - Ramses,30.057432,31.241405,,,,9,900.0
sample.flow.stolen,Ahmed Oraby - Ramses,30.057005,31.242458,,,,603,6118.074626865671
turned.coverings.postcard,Ahmed Oraby - Ramses,30.057323,31.241535,,,,45,6264.2
yours.refusals.panics,Ahmed Oraby - Ramses,30.057491,31.241371,,,,594,5715.984848484848
paddock.continues.dollars,Ahmed Oraby Square - Obour,30.2254,31.457321,,,,9,300.0
unloaded.flaunting.patting,Ahmed Oraby Square - Obour,30.223509,31.458424,,,,9,300.0
cardinal.elephant.vowel,Ahmed Oraby Street,30.060703,31.24266,,,,486,5195.407407407408
